ParkID,PlotID,BurnUnit,MaxBurnYear,Season,Lat,Long,ObsYears,TreeID,Species,Status,CrownScorchPercent,MaxCharHt,gro.10,BA_comp,DBH,aVpd.pre.10,trnd.25,ad.25
BAND,FPSME1T08_22,Unit 8,2000,Spring,35.84,-106.4,6,B222563,PIPO,0,95,8,0.75,0,49.8,0,0,0
BAND,FPSME1T08_22,Unit 8,2000,Spring,35.84,-106.4,6,B222566,PIPO,1,95,13,1.61,41,53.5,0,0.02,2
BRCA,PIPO_09,Residential,2008,Summer,37.63,-112.18,2,BC09095,PIPO,0,5,0.5,0.4,328,26.7,1.3,-0.04,1
BRCA,PIPO_09,Residential,2008,Summer,37.63,-112.18,2,BC09096,PIPO,0,95,0,0.08,492,26.7,1.3,-0.04,1
BRCA,PIPO_09,Residential,2008,Summer,37.63,-112.18,2,BC09097,PSME,0,15,1.5,1.47,158,43,1.3,-0.06,1
BRCA,PIPO_09,Residential,2008,Summer,37.63,-112.18,2,BC09111,PSME,1,80,3,0.43,93,35.5,1.3,-0.07,3
BRCA,PIPO_09,Residential,2008,Summer,37.63,-112.18,2,BC09113,PSME,0,15,0,1.1,190,24.8,1.3,-0.03,1
BRCA,PIPO_09,Residential,2008,Summer,37.63,-112.18,2,BC09114,PSME,0,15,3,0.97,93,25.1,1.3,-0.04,0
BRCA,PIPO_09,Residential,2008,Summer,37.63,-112.18,2,BC09115,PSME,0,40,5,0.81,251,21.6,1.3,-0.05,3
BRCA,ABCO_52,Puma,2008,Fall,37.51,-112.26,2,BC52689,PSME,0,0,0.1,2.07,145,20.1,1.3,0.03,1
BRCA,ABCO_52,Puma,2008,Fall,37.51,-112.26,2,BC52710,ABCO,1,10,1.5,0.6,116,22.4,1.3,0,3
BRCA,ABCO_52,Puma,2008,Fall,37.51,-112.26,2,BC52714,ABCO,0,15,2,0.62,57,31.9,1.3,-0.01,2
BRCA,ABCO_52,Puma,2008,Fall,37.51,-112.26,2,BC52718,ABCO,0,2,1,0.59,255,21.4,1.3,0,4
BRCA,ABCO_52,Puma,2008,Fall,37.51,-112.26,2,BC52722,ABCO,0,70,4,0.77,280,28.9,1.3,-0.01,3
BRCA,ABCO_52,Puma,2008,Fall,37.51,-112.26,2,BC52723,PSME,1,100,1.5,0.53,180,25.5,1.3,-0.04,2
BRCA,ABCO_54,County Line,1995,Summer,37.54,-112.26,5,BC54536,ABCO,1,15,0.5,1.53,452,19.7,0.4,-0.01,1
BRCA,ABCO_54,County Line,1995,Summer,37.54,-112.26,5,BC54539,PIPO,0,0,0.5,0.27,0,62.6,0.4,-0.01,0
BRCA,ABCO_54,County Line,1995,Summer,37.54,-112.26,5,BC54540,PIPO,0,5,2.5,0.27,0,73.7,0.4,-0.01,1
BRCA,ABCO_55,County Line,1995,Summer,37.54,-112.26,5,BC55339,PSME,0,85,0,1.08,167,32.4,0.4,0,0
BRCA,ABCO_55,County Line,1995,Summer,37.54,-112.26,5,BC55340,PSME,1,75,0.8,0.8,722,18,0.4,0.01,0
BRCA,ABCO_55,County Line,1995,Summer,37.54,-112.26,5,BC55341,PSME,0,10,0,0.97,30,62.9,0.4,-0.06,1
BRCA,ABCO_55,County Line,1995,Summer,37.54,-112.26,5,BC55351,PSME,1,100,1.8,1.35,102,23.9,0.4,0,0
BRCA,ABCO_55,County Line,1995,Summer,37.54,-112.26,5,BC55360,PIPO,0,80,3.5,0.26,17,58.2,0.4,-0.01,0
BRCA,ABCO_55,County Line,1995,Summer,37.54,-112.26,5,BC55366,ABCO,1,90,0.2,0.25,126,30.4,0.4,0,4
BRCA,ABCO_55,County Line,1995,Summer,37.54,-112.26,5,BC55367,ABCO,0,50,0,0.62,0,38.1,0.4,0.01,0
BRCA,ABCO_55,County Line,1995,Summer,37.54,-112.26,5,BC55378,PSME,0,30,0.2,1.1,379,21.5,0.4,-0.01,0
BRCA,ABCO_55,County Line,1995,Summer,37.54,-112.26,5,BC55383,ABCO,0,50,0,0.43,755,17.6,0.4,0.01,1
BRCA,ABCO_55,County Line,1995,Summer,37.54,-112.26,5,BC55385,ABCO,0,25,0,0.8,81,38.1,0.4,-0.01,0
BRCA,ABCO_56,Puma,2008,Fall,37.48,-112.26,2,BC56224,PSME,0,5,0.2,1.01,105,33.3,1.3,-0.05,1
BRCA,ABCO_56,Puma,2008,Fall,37.48,-112.26,2,BC56415,PIPO,0,20,0.5,1.33,801,19.1,1.3,-0.03,1
BRCA,ABCO_56,Puma,2008,Fall,37.48,-112.26,2,BC56431,PSME,0,2,0.3,1.66,217,40.2,1.3,-0.01,1
BRCA,ABCO_56,Puma,2008,Fall,37.48,-112.26,2,BC56437,PSME,0,1,0.1,0.37,239,31.3,1.3,-0.05,1
BRCA,ABCO_56,Puma,2008,Fall,37.48,-112.26,2,BC56438,PSME,0,5,0.1,0.77,78,47.5,1.3,-0.02,1
BRCA,ABCO_56,Puma,2008,Fall,37.48,-112.26,2,BC56439,PSME,0,1,0.1,0.23,24,49.4,1.3,-0.02,1
